Name,Year,T,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,IsoP,Spd,BABIP,UBR,wSB,wRC,wRAA,wOBA,ev,wRC+
"Peguero, Carlos",2017,E,517,9.7,26.9,0.36,0.281,0.356,0.49,0.846,0.21,2.6,0.349,-1.7,-0.3,77.9,22.9,0.381,133,140
"Kakunaka, Katsuya",2017,M,452,13.7,9.7,1.41,0.269,0.375,0.397,0.772,0.128,4.3,0.285,0,0.6,57.2,9.1,0.35,134.2,124
"Despaigne, Alfredo",2017,H,545,10.8,21.8,0.5,0.262,0.347,0.513,0.859,0.251,2,0.275,-8.2,0.1,82.2,24.2,0.381,132.2,143
"Matsuda, Nobuhiro",2017,H,577,7.5,22.2,0.34,0.264,0.319,0.458,0.777,0.194,4.6,0.304,1.3,0,73.5,12.1,0.351,132.9,119
"Uemoto, Hiroki",2017,T,488,10.2,14.5,0.7,0.284,0.366,0.403,0.769,0.12,4.8,0.323,4.4,2.1,62.7,11.4,0.351,132.4,121
"Toritani, Takashi",2017,T,570,13.5,10.9,1.24,0.293,0.39,0.377,0.767,0.084,3.3,0.328,-0.7,-1.2,77.8,17.9,0.361,132.8,122
"Yamada, Tetsuto",2017,S,624,14.6,21.2,0.69,0.247,0.364,0.435,0.799,0.188,3.9,0.286,-1.3,0.7,87.2,21.7,0.366,133.7,119
"Asamura, Hideto",2017,L,633,7,15.2,0.46,0.291,0.347,0.453,0.799,0.162,3.2,0.318,2.8,0.4,86.4,19.1,0.363,134.1,123
"Fukudome, Kosuke",2017,T,526,14.6,17.5,0.84,0.263,0.373,0.444,0.818,0.181,2.8,0.293,1,-0.6,76.6,21.4,0.373,132.5,134
"Tanaka, Kosuke",2017,C,679,13.1,17.7,0.74,0.29,0.398,0.407,0.805,0.117,6.2,0.354,4.1,0.8,99.2,27.9,0.374,130.8,130
"Sakamoto, Hayato",2017,G,614,11.1,13.8,0.8,0.291,0.372,0.43,0.802,0.139,3.7,0.321,1.2,0,90.4,25.9,0.375,132.2,123
"Wheeler, Zelous",2017,E,605,8.3,16.2,0.51,0.271,0.342,0.493,0.835,0.221,2.8,0.279,-4.7,0,89.6,25.3,0.378,133.5,135
"Nishikawa, Haruki",2017,F,623,11.1,16.5,0.67,0.296,0.378,0.416,0.794,0.12,7,0.35,5.5,4.1,86.5,20.3,0.366,133,133
"Tanaka, Kazuki",2018,E,465,8,21.7,0.37,0.265,0.323,0.423,0.746,0.158,5.4,0.308,0.3,0.9,56.7,4.7,0.34,132.8,106
"Romero, Stefen",2018,Bs,501,8.4,22.8,0.37,0.237,0.313,0.451,0.765,0.214,3.7,0.258,0,0.3,59.2,3.1,0.335,133.2,110
"Suzuki, Daichi",2018,M,558,7.9,9.9,0.8,0.266,0.346,0.398,0.744,0.132,4.4,0.283,-4.2,-0.3,66.7,4.3,0.337,132.6,109
"Tanaka, Kosuke",2018,C,675,11.1,17.5,0.64,0.262,0.362,0.383,0.745,0.121,7.1,0.312,5.5,0.5,79.6,3,0.337,131.3,104
"Nakata, Sho",2018,F,599,7.2,13.5,0.53,0.265,0.316,0.463,0.778,0.198,1.1,0.264,-1,-0.4,74.1,7.1,0.342,133.3,113
"Nakamura, Akira",2018,H,580,10.3,11.7,0.88,0.292,0.369,0.435,0.804,0.142,1.6,0.312,-5.1,-0.2,78.8,13.9,0.357,133.9,123
"McGehee, Casey",2018,G,547,7.5,16.8,0.45,0.285,0.336,0.467,0.803,0.182,2.3,0.309,-3.5,0.3,70.3,8.3,0.35,130.6,110
"Nakamura, Shogo",2018,M,639,9.4,14.7,0.64,0.284,0.374,0.393,0.767,0.109,5.5,0.327,1.2,0.2,84.1,12.6,0.352,132.8,118
"Itohara, Kento",2018,T,637,13.5,11.5,1.18,0.286,0.39,0.362,0.752,0.075,3.9,0.328,-1.1,-0.5,84.1,11.9,0.355,129.6,110
"Uebayashi, Seiji",2018,H,608,4.9,19.2,0.26,0.27,0.315,0.488,0.803,0.218,7,0.306,3,0.4,82.2,14.2,0.356,133.6,119
"Imae, Toshiaki",2018,E,465,6.9,16.3,0.42,0.276,0.334,0.397,0.731,0.121,2.1,0.313,-1.3,-1.1,52.3,0.3,0.328,133.1,100
"Noma, Takayoshi",2018,C,447,6.7,15.4,0.43,0.286,0.343,0.393,0.736,0.106,7,0.333,4.3,-0.8,54.6,3.9,0.342,131.1,99
"Fukuda, Nobumasa",2018,D,487,7.6,24.4,0.31,0.261,0.322,0.405,0.727,0.143,1.5,0.326,0.6,-,53.8,-1.5,0.327,131.5,97
"Kyoda, Yota",2018,D,632,3,17.6,0.17,0.235,0.266,0.306,0.572,0.071,6.8,0.283,5.7,-0.3,39.4,-32.3,0.267,131.9,53
"Genda, Sosuke",2018,L,666,7.2,15.2,0.48,0.278,0.333,0.374,0.707,0.096,7.8,0.325,4.9,2,72.2,-2.3,0.323,133.6,94
"Kamei, Yoshiyuki",2018,G,461,7.8,15.2,0.51,0.254,0.315,0.393,0.708,0.14,2.8,0.276,1.4,0.6,49,-3.3,0.322,130.6,86
"Akaminai, Ginji",2018,E,552,8.7,8.5,1.02,0.276,0.344,0.36,0.704,0.083,2.8,0.296,-1.2,-0.2,59.2,-2.5,0.321,133.2,96
"Umeno, Ryutaro",2018,T,455,8.6,14.7,0.58,0.259,0.328,0.396,0.724,0.137,3.5,0.295,-0.3,0.5,47.7,-3.9,0.321,132.2,95
"Ohshima, Yohei",2018,D,645,7.3,12.4,0.59,0.274,0.329,0.367,0.697,0.094,6.4,0.304,2.6,0.2,66.3,-6.9,0.318,132.3,89
"Takahashi, Shuhei",2018,D,477,6.3,18.7,0.34,0.254,0.305,0.4,0.704,0.145,1.4,0.295,3.1,-,47.9,-6.2,0.315,132.4,90
"Kikuchi, Ryosuke",2018,C,642,7.9,17.3,0.46,0.233,0.301,0.355,0.656,0.122,4.8,0.27,3,0.9,61.7,-11.2,0.309,133.8,75
"Nishiura, Naomichi",2018,S,550,7.3,16,0.45,0.242,0.309,0.363,0.673,0.121,1.8,0.276,-0.6,-0.6,51.5,-10.9,0.306,132.8,74
"Tamura, Tatsuhiro",2018,M,476,8.4,14.3,0.59,0.239,0.309,0.328,0.636,0.089,4.3,0.277,-0.9,-0.7,43.5,-9.7,0.301,132.4,78
"Nakashima, Takuya",2018,F,449,7.8,19.6,0.4,0.261,0.321,0.312,0.633,0.051,7,0.333,0.7,2.4,39.7,-10.5,0.297,133,79
"Fujioka, Yudai",2018,M,611,7.2,15.9,0.45,0.23,0.294,0.305,0.599,0.075,4.8,0.272,3.4,-2.8,44.2,-24.1,0.277,133.2,66
"Takai, Yuhei",2018,S,482,6.8,12.9,0.53,0.318,0.365,0.439,0.805,0.121,3.2,0.349,-1.5,0.6,65,10.3,0.358,133.7,107
"Adachi, Ryoichi",2018,Bs,514,4.9,12.5,0.39,0.219,0.261,0.277,0.538,0.058,5.6,0.246,2.5,1.1,27,-30.4,0.252,133,45
"Kakunaka, Katsuya",2018,M,470,10.2,13.4,0.76,0.265,0.345,0.382,0.727,0.117,2.7,0.294,0.9,-0.7,51.5,-1,0.324,133,103
"Matsuda, Nobuhiro",2018,H,580,9.7,19.5,0.5,0.248,0.324,0.485,0.81,0.238,3.1,0.256,-0.8,-0.7,80.4,15.5,0.361,134.3,121
"Laird, Brandon",2018,F,505,8.7,24.6,0.35,0.233,0.309,0.447,0.756,0.213,1.6,0.26,-5.1,-0.4,61.4,5,0.339,133.3,107
"Nishikawa, Haruki",2018,F,636,15.1,16.2,0.93,0.278,0.391,0.405,0.796,0.127,7.4,0.329,1.7,5.3,89.8,18.7,0.364,133.2,130
"Mori, Tomoya",2018,L,552,12.7,19,0.67,0.275,0.366,0.457,0.823,0.182,3.8,0.318,-2.9,0.3,76.8,15,0.361,134.3,125
"Yanagita, Yuki",2018,H,550,11.3,19.1,0.59,0.352,0.431,0.661,1.092,0.309,6,0.386,-0.4,0.5,124.9,63.4,0.472,134.1,201
"Maru, Yoshihiro",2018,C,566,23,23,1,0.306,0.468,0.627,1.096,0.322,2.8,0.352,-0.8,-2,126.9,62.7,0.471,134.1,189
"Suzuki, Seiya",2018,C,520,16.9,22.3,0.76,0.32,0.438,0.618,1.057,0.299,3.2,0.374,0.2,-0.8,109.7,50.7,0.454,133.4,180
"Soto, Neftali",2018,DB,459,6.3,21.8,0.29,0.31,0.364,0.644,1.008,0.334,1.4,0.314,-1.3,-0.4,91.2,39.1,0.439,132.8,159
"Viciedo, Dayan",2018,D,582,8.8,10.5,0.84,0.348,0.419,0.555,0.974,0.207,2.4,0.354,-1.4,-0.9,113.5,47.4,0.434,131.6,165
"Tsutsugoh, Yoshitomo",2018,DB,580,13.8,18.4,0.75,0.295,0.393,0.596,0.989,0.301,1.2,0.306,-0.8,-,109.4,43.6,0.426,131.5,152
"Yamakawa, Hotaka",2018,L,647,13.6,21.3,0.64,0.281,0.396,0.59,0.985,0.309,1.9,0.293,-5.3,-,122.8,50.4,0.425,134,169
"Yoshida, Masataka",2018,Bs,598,11.5,12.4,0.93,0.321,0.403,0.553,0.956,0.232,2.7,0.329,1.1,0.1,111.2,44.3,0.42,133.4,164
"Sakamoto, Hayato",2018,G,502,12.2,16.5,0.73,0.345,0.424,0.537,0.962,0.193,4.2,0.394,2.8,-0.3,92.2,35.2,0.42,130.7,153
"Okamoto, Kazuma",2018,G,616,11.7,19.5,0.6,0.309,0.394,0.541,0.935,0.231,1.8,0.346,-2.2,0,112.1,42.2,0.418,130.5,148
"Akiyama, Shogo",2018,L,685,11.2,14,0.8,0.323,0.403,0.534,0.937,0.211,5.6,0.353,3.8,-1.5,120.5,43.9,0.408,133.4,158
"Miyazaki, Toshiro",2018,DB,590,6.4,7.6,0.84,0.318,0.363,0.532,0.894,0.214,1,0.308,-1.1,-,98.2,31.2,0.398,132.6,133
"Asamura, Hideto",2018,L,640,10.6,16.4,0.65,0.31,0.383,0.527,0.91,0.218,2.8,0.33,-0.2,-0.2,107.5,35.9,0.398,133.8,148
"Yamada, Tetsuto",2018,S,637,16.6,18.7,0.89,0.315,0.432,0.582,1.014,0.267,6.8,0.35,1.9,3.9,127.3,55,0.44,133.3,162
"Aoki, Norichika",2018,S,567,9,8.5,1.06,0.327,0.409,0.475,0.884,0.147,3.2,0.346,0.5,-0.9,93.3,29,0.396,133.2,133
"Itoi, Yoshio",2018,T,509,15.1,12.4,1.22,0.308,0.42,0.48,0.9,0.172,4,0.328,-1.6,2.5,83.9,26.2,0.396,131.8,145
"Despaigne, Alfredo",2018,H,469,11.7,19.8,0.59,0.238,0.333,0.494,0.826,0.256,1.6,0.236,-4.7,-,66.9,14.5,0.366,133.6,126
"Lopez, Jose",2018,DB,459,3.5,12.6,0.28,0.288,0.314,0.517,0.831,0.229,0.6,0.282,-3.9,-,64.1,12.1,0.364,130.6,114
"Shimauchi, Hiroaki",2018,E,453,10.4,9.9,1.04,0.292,0.373,0.431,0.805,0.14,4.4,0.305,-1.6,-0.2,66,15.4,0.37,133.2,126
"Tonosaki, Shuta",2018,L,510,9.2,20,0.46,0.287,0.357,0.472,0.83,0.185,5.7,0.335,1.3,0.3,75,18,0.371,133.5,128
"Fukudome, Kosuke",2018,T,499,14.6,18,0.81,0.28,0.389,0.454,0.843,0.174,2.7,0.322,-2.1,0,75.2,18.6,0.378,132.5,129
"Sakaguchi, Tomotaka",2018,S,595,12.6,10.1,1.25,0.317,0.406,0.394,0.8,0.077,3.7,0.353,4.3,-1,84.4,16.8,0.367,133,112
"Almonte, Zoilo",2018,D,546,8.1,17.4,0.46,0.321,0.375,0.486,0.861,0.165,1.4,0.371,1.7,-0.2,85.4,23.5,0.386,132,135
"Inoue, Seiya",2018,M,548,11.5,19.3,0.59,0.292,0.374,0.506,0.88,0.214,2.1,0.327,-0.2,0.1,88.6,27.3,0.39,133.1,146
"Kondoh, Kensuke",2018,F,555,15.7,16.2,0.97,0.323,0.427,0.457,0.884,0.134,3.7,0.38,-2.1,0.7,90.8,28.8,0.392,133.3,147
"Hirata, Ryosuke",2018,D,568,11.8,12.1,0.97,0.329,0.41,0.456,0.866,0.128,4.5,0.366,6.5,-1.2,92.1,27.7,0.393,131.6,139
"Balentien, Wladimir",2018,S,602,14.1,20.1,0.7,0.268,0.37,0.533,0.904,0.265,1.1,0.279,-0.2,-0.2,98.5,30.2,0.395,133.6,131
"Matsuyama, Ryuhei",2018,C,446,9.4,10.3,0.91,0.302,0.368,0.466,0.834,0.164,2.7,0.314,-4,0.3,67.4,16.8,0.379,134.1,121
"Murakami, Munetaka",2019,S,593,12.5,31,0.4,0.231,0.332,0.481,0.814,0.25,2.3,0.279,2,-0.7,81.7,16.5,0.359,133.9,114
"Shimauchi, Hiroaki",2019,E,585,9.9,11.1,0.89,0.287,0.372,0.407,0.779,0.121,3.5,0.313,-4.4,-0.9,79.8,13.8,0.355,132.6,122
"Nishikawa, Haruki",2019,F,651,14.3,17.1,0.84,0.288,0.393,0.385,0.779,0.097,5.9,0.354,5.9,1.4,88.4,15,0.354,132.6,125
"Mogi, Eigoro",2019,E,648,10.2,18.7,0.55,0.282,0.358,0.421,0.779,0.139,4.8,0.337,5.8,-0.6,87.9,14.8,0.354,132.4,120
"Kamei, Yoshiyuki",2019,G,503,8.9,18.1,0.49,0.284,0.346,0.44,0.786,0.156,4.7,0.328,0.5,1.1,64.3,9,0.346,134.4,110
"Takahashi, Shuhei",2019,D,471,6.8,14.9,0.46,0.293,0.345,0.43,0.776,0.137,3.9,0.336,-2.6,-1,59.8,8,0.345,133.4,113
"Ohta, Taishi",2019,F,594,4.5,18.7,0.24,0.289,0.325,0.451,0.776,0.162,3.6,0.327,0.6,0.3,76,9,0.344,132.4,116
"Ohshima, Yohei",2019,D,623,8,12.5,0.64,0.312,0.376,0.38,0.756,0.068,5.8,0.356,7.4,2.2,78.6,10.1,0.344,133.2,114
"Miyazaki, Toshiro",2019,DB,473,6.8,7.4,0.91,0.284,0.334,0.443,0.777,0.159,1.5,0.278,-3.5,-,59.7,7.6,0.344,133.5,108
"Nakata, Sho",2019,F,514,10.7,16.1,0.66,0.242,0.329,0.449,0.778,0.207,0.9,0.245,-4.3,-,65.5,7.6,0.344,132.6,115
"Kikuchi, Ryosuke",2019,C,619,6.6,16.5,0.4,0.261,0.313,0.406,0.719,0.144,4.9,0.3,4.6,0.4,71.5,3.4,0.331,133.9,97
"Akaminai, Ginji",2019,E,590,8.8,9.8,0.9,0.304,0.37,0.382,0.752,0.078,1.8,0.334,-6,-1.5,75,8.4,0.343,132.8,113
"Nakamura, Yuhei",2019,S,450,11.8,14.2,0.83,0.269,0.373,0.384,0.757,0.116,2.4,0.311,1.4,-1.3,56,6.5,0.342,133.5,106
"Matsuda, Nobuhiro",2019,H,576,5.7,20,0.29,0.26,0.305,0.483,0.788,0.223,3.1,0.277,-1.6,-0.2,72.2,7.3,0.341,134.5,113
"Kai, Takuya",2019,H,454,11,25.1,0.44,0.26,0.346,0.387,0.733,0.127,2.9,0.341,0.3,0.1,56.1,4.9,0.339,133.6,105
"Lopez, Jose",2019,DB,597,6.5,17.9,0.36,0.241,0.295,0.461,0.756,0.22,1.2,0.245,-4,-,68.8,3.2,0.331,133.5,99
"Wheeler, Zelous",2019,E,472,9.1,20.3,0.45,0.243,0.32,0.418,0.738,0.175,1.9,0.265,-5.6,-1.3,54.9,1.7,0.33,132.9,104
"Abe, Toshiki",2019,D,484,6.4,16.9,0.38,0.291,0.337,0.405,0.742,0.114,3,0.342,2.1,0.2,55.2,2,0.329,133,105
"Kamizato, Kazuki",2019,DB,458,5.7,26.4,0.21,0.279,0.323,0.407,0.731,0.129,5.6,0.377,4.7,-1.3,51.4,1.1,0.327,133.3,96
"Itoi, Yoshio",2019,T,444,11.7,14.2,0.83,0.314,0.403,0.416,0.819,0.102,3.2,0.363,-3.1,-0.4,62,13.1,0.361,132.8,127
"Nishikawa, Ryoma",2019,C,585,5.5,13.8,0.4,0.297,0.336,0.441,0.777,0.144,3.4,0.323,0.2,-1.7,73.5,9.2,0.344,133.7,111
"Okamoto, Kazuma",2019,G,628,9.9,21,0.47,0.265,0.343,0.485,0.828,0.22,2.7,0.294,0.2,0.5,88.2,19.2,0.362,133.9,121
"Tsutsugoh, Yoshitomo",2019,DB,557,15.8,25.3,0.62,0.272,0.388,0.511,0.899,0.239,1,0.327,-3.3,-,91,29.7,0.391,134.1,137
"Inoue, Seiya",2019,M,509,13.2,19.3,0.68,0.252,0.362,0.462,0.824,0.21,1.3,0.271,-0.9,-,73.3,15.9,0.365,132.8,132
"Suzuki, Seiya",2019,C,612,16.8,13.2,1.27,0.335,0.453,0.565,1.018,0.23,3.9,0.354,5.6,-2,126.6,59.4,0.445,133.9,178
"Sakamoto, Hayato",2019,G,639,12.1,19.2,0.63,0.312,0.396,0.575,0.971,0.263,2.6,0.338,-0.1,-0.3,121.7,51.4,0.424,134,158
"Yoshida, Masataka",2019,B,610,13,10.5,1.23,0.322,0.413,0.543,0.956,0.221,3.4,0.321,-1.9,0.5,114,45.2,0.418,133.1,165
"Mori, Tomoya",2019,L,573,12.6,15.5,0.81,0.329,0.413,0.547,0.959,0.217,3.3,0.36,5.2,-0.2,106.9,42.3,0.418,134.1,165
"Yamada, Tetsuto",2019,S,641,17.2,18.9,0.91,0.271,0.401,0.56,0.961,0.288,6.8,0.287,-4.6,4.2,118.2,47.7,0.417,133.8,153
"Blash, Jabari",2019,E,527,15.4,29.8,0.52,0.261,0.397,0.54,0.936,0.279,1.3,0.326,-0.6,-0.7,94.6,35.2,0.409,132.7,162
"Yamakawa, Hotaka",2019,L,626,13.7,22.7,0.61,0.256,0.372,0.54,0.912,0.284,1.8,0.266,-2.5,0.2,108.8,38.2,0.402,134,149
"Balentien, Wladimir",2019,S,468,11.5,25,0.46,0.28,0.363,0.554,0.917,0.273,1.2,0.312,-0.6,-0.4,80.4,29,0.401,133.9,141
"Soto, Neftali",2019,DB,584,10.1,16.8,0.6,0.269,0.348,0.554,0.902,0.285,1,0.253,-3.2,-,97.5,33.3,0.395,134,139
"Maru, Yoshihiro",2019,G,631,13.6,19.8,0.69,0.292,0.388,0.495,0.884,0.204,3.5,0.331,-5.1,0.1,102.6,33.2,0.39,134,137
"Akiyama, Shogo",2019,L,678,11.5,15.9,0.72,0.303,0.392,0.471,0.864,0.168,4.7,0.343,1.2,-0.8,111.2,34.8,0.39,134,142
"Asamura, Hideto",2019,E,635,14.6,25.5,0.57,0.263,0.372,0.507,0.878,0.244,2.6,0.309,-0.7,-0.2,102.9,31.3,0.387,133.1,142
"Nakamura, Takeya",2019,L,557,9.7,22.1,0.44,0.286,0.359,0.528,0.887,0.242,1.8,0.324,-5.6,0,88.9,26.1,0.384,133.9,142
"Aoki, Norichika",2019,S,565,10.8,12.7,0.85,0.297,0.385,0.442,0.826,0.145,2.6,0.319,4.9,-0.6,88.6,26.5,0.383,133.4,123
"Despaigne, Alfredo",2019,H,519,12.1,22.9,0.53,0.259,0.355,0.52,0.875,0.261,0.7,0.27,-6,-0.4,82.1,23.6,0.382,134.2,141
"Viciedo, Dayan",2019,D,594,6.9,14.8,0.47,0.315,0.374,0.496,0.87,0.182,1.5,0.346,-3.9,-0.1,92.5,27.1,0.381,133.1,139
"Ogino, Takashi",2019,M,569,7,9.8,0.71,0.315,0.371,0.47,0.842,0.156,6.6,0.336,6.7,1.2,89,24.8,0.38,132.6,136
"Kondoh, Kensuke",2019,F,600,17.2,13.5,1.27,0.302,0.422,0.4,0.822,0.098,3.2,0.354,-1.7,-1.3,93.4,25.8,0.379,133,140
"Tonosaki, Shuta",2019,L,621,10.1,21.3,0.48,0.274,0.353,0.493,0.846,0.22,6.8,0.315,4.7,1.6,94.2,24.2,0.374,133.2,133
"Aizawa, Tsubasa",2019,C,447,13,18.1,0.72,0.277,0.387,0.439,0.826,0.162,2.3,0.325,-5.6,-0.1,66.3,17.2,0.372,134.1,130
"Suzuki, Daichi",2019,M,614,9.1,12.2,0.75,0.288,0.373,0.454,0.826,0.165,3.6,0.312,2.6,0.2,91.7,22.4,0.371,133.8,134
"Laird, Brandon",2019,M,553,9.9,23.1,0.43,0.248,0.333,0.483,0.815,0.234,0.6,0.27,-4.6,-,78.9,16.5,0.363,133.1,126
"Umeno, Ryutaro",2019,T,492,6.9,16.9,0.41,0.266,0.326,0.393,0.718,0.127,5.1,0.308,0.8,1.1,54.8,0.7,0.326,133.5,96
"Itohara, Kento",2019,T,572,10.5,12.2,0.86,0.267,0.353,0.336,0.689,0.069,4,0.306,1.1,-0.9,63.2,0.3,0.325,132.7,94
"Ohyama, Yusuke",2019,T,587,6.6,16.7,0.4,0.258,0.312,0.401,0.714,0.143,2.6,0.291,-0.1,0.5,63.6,-1,0.322,133.4,96
"Takai, Yuhei",2019,S,493,7.5,14.4,0.52,0.273,0.327,0.396,0.723,0.123,2.5,0.297,-0.5,-0.5,54,-0.2,0.324,134,90
"Kyoda, Yota",2019,D,574,6.4,15.9,0.41,0.249,0.302,0.314,0.615,0.065,5.2,0.296,3.5,0.1,44.7,-18.4,0.284,133.4,71
"Uchikawa, Seiichi",2019,H,535,5.2,9.2,0.57,0.256,0.296,0.37,0.666,0.114,2.5,0.262,-2.1,0.5,48.3,-12,0.298,134,79
"Kaneko, Yuji",2019,L,524,9.4,15.5,0.6,0.251,0.324,0.292,0.616,0.041,5.7,0.296,3.1,3.4,47.8,-11.3,0.299,133.4,73
"Fukuda, Shuhei",2019,B,583,10.6,9.8,1.09,0.25,0.342,0.309,0.651,0.059,5.9,0.278,2.1,0.1,55.4,-10.3,0.304,133,108
"Maeda, Yamato",2019,DB,490,6.9,15.3,0.45,0.237,0.3,0.285,0.585,0.048,3.3,0.285,0.8,0.1,36.1,-17.8,0.279,133.1,60
"Genda, Sosuke",2019,L,609,6.6,11,0.6,0.274,0.324,0.35,0.674,0.076,7.3,0.308,5.2,1.9,59,-9.7,0.306,133.4,86
"Kuriyama, Takumi",2019,L,466,10.3,21.5,0.48,0.252,0.333,0.355,0.687,0.103,0.7,0.315,-1.9,-,46.6,-5.9,0.31,133.9,91
"Chikamoto, Koji",2019,T,640,4.8,17.2,0.28,0.271,0.313,0.375,0.689,0.104,7,0.319,5.9,0.2,66.3,-4.1,0.316,133,88
"Nakamura, Shogo",2019,M,586,9,16.4,0.55,0.232,0.317,0.375,0.692,0.143,3.5,0.254,2.9,-0.1,61.9,-4.1,0.317,133.2,94
"Watanabe, Ryo",2019,F,543,8.8,22.1,0.4,0.262,0.333,0.385,0.718,0.123,3.4,0.324,-3.4,-0.7,59.6,-1.7,0.322,132.3,103
"Fukuda, Shuhei",2019,B,583,10.6,9.8,1.09,0.25,0.342,0.309,0.651,0.059,5.9,0.278,2.1,0.1,55.4,-10.3,0.304,133,88
"Tonosaki, Shuta",2020,L,500,10.8,17.4,0.62,0.247,0.335,0.353,0.688,0.106,5.3,0.291,2.2,0.4,58,3.3,0.329,133.8,97
"Watanabe, Ryo",2020,F,465,9.2,17.4,0.53,0.283,0.348,0.377,0.725,0.094,4.1,0.336,0.2,-0.2,54.1,3.2,0.33,134.4,110
"Tanaka, Kosuke",2020,C,454,12.1,18.9,0.64,0.251,0.351,0.37,0.721,0.119,5.4,0.302,-0.3,0,52.8,3.1,0.332,133.7,100
"Inoue, Seiya",2020,M,447,13.2,20.8,0.63,0.245,0.356,0.394,0.749,0.149,0.8,0.283,2.1,-,55.3,6.4,0.339,133.8,115
"Shimauchi, Hiroaki",2020,E,471,10.2,15.1,0.68,0.281,0.363,0.392,0.755,0.111,4.2,0.32,2.4,1,59.8,8.2,0.343,134.2,118
"Viciedo, Dayan",2020,D,462,7.4,10.4,0.71,0.267,0.329,0.447,0.776,0.181,2.1,0.26,-4.6,-0.2,57.5,7,0.342,132.6,112
"Yamada, Tetsuto",2020,S,384,12.5,21.6,0.58,0.254,0.346,0.419,0.766,0.165,4.1,0.303,3.7,0,48.2,6.2,0.343,134.4,104
"Dohbayashi, Shota",2020,C,451,9.1,20.2,0.45,0.279,0.35,0.436,0.787,0.157,4.2,0.329,-2.5,1.6,56.8,7.5,0.344,134.1,108
"Ohta, Taishi",2020,F,481,5.2,21.8,0.24,0.275,0.314,0.407,0.721,0.132,2.8,0.33,-0.8,-0.7,55,2.4,0.327,134.2,108
"Bour, Justin",2020,T,379,11.9,23.2,0.51,0.243,0.338,0.422,0.76,0.179,0.7,0.279,-3.8,-0.2,46.3,4.9,0.339,134.3,107
"Abe, Toshiki",2020,D,459,6.5,20,0.33,0.257,0.306,0.409,0.715,0.152,1.8,0.299,-3.5,-1.1,51.6,1.4,0.327,132.9,97
"Matsuyama, Ryuhei",2020,C,425,4,16.9,0.24,0.277,0.306,0.416,0.722,0.139,1.6,0.316,-3.1,-0.4,42.4,-4.1,0.312,133.4,93
"Yoshikawa, Naoki",2020,G,389,7.7,15.4,0.5,0.274,0.336,0.398,0.734,0.124,4.9,0.311,0.6,0.9,43.5,1,0.327,133.7,97
"Kurihara, Ryoya",2020,H,500,7.6,18,0.42,0.243,0.307,0.42,0.727,0.177,3.6,0.265,2.1,-1.2,55.7,1,0.324,134,104
"Nakamura, Akira",2020,H,413,9.4,11.4,0.83,0.271,0.341,0.367,0.709,0.097,2.1,0.292,-2.4,-,45.9,0.7,0.323,134.5,102
"Mori, Tomoya",2020,L,405,9.4,16.5,0.57,0.251,0.325,0.38,0.705,0.128,3.7,0.283,1.1,-0.2,43.3,-1.1,0.318,134.5,100
"Sakaguchi, Tomotaka",2020,S,458,10.3,13.1,0.78,0.246,0.334,0.354,0.688,0.108,2.9,0.268,-1.8,-1.1,47.3,-2.8,0.316,134.4,86
"Okada, Takahiro",2020,B,377,10.6,23.1,0.46,0.256,0.34,0.457,0.797,0.201,2.2,0.296,-0.3,-0.4,48.8,7.5,0.346,134.4,119
"Genda, Sosuke",2020,L,518,7.3,15.4,0.48,0.27,0.327,0.33,0.656,0.059,6.3,0.324,9.6,-0.4,50.9,-5.8,0.307,134.4,86
"Yasuda, Hisanori",2020,M,460,13.5,23,0.58,0.221,0.326,0.321,0.647,0.099,2,0.284,-3.5,-0.1,42.8,-7.5,0.301,133.7,86
"Matsuda, Nobuhiro",2020,H,431,7.4,17.6,0.42,0.228,0.285,0.382,0.668,0.154,2.8,0.249,1,0.1,39.1,-8,0.298,134.7,87
"Kyoda, Yota",2020,D,491,5.5,16.3,0.34,0.247,0.298,0.348,0.647,0.102,5.6,0.291,0.5,0,41.8,-11.9,0.294,132.8,78
"Escobar, Alcides",2020,S,402,3.2,12.9,0.25,0.273,0.312,0.329,0.641,0.056,2.9,0.313,0.4,-1.5,32.9,-11.1,0.289,133.9,67
"Nakamura, Shogo",2020,M,499,10.4,19.4,0.54,0.249,0.341,0.365,0.706,0.116,3.1,0.304,1.5,-0.3,56.8,2.2,0.327,133.3,103
"Kobukata, Hiroto",2020,E,437,9.6,13.5,0.71,0.288,0.364,0.381,0.745,0.093,6.4,0.333,5.8,-1,57.3,9.4,0.348,134.2,116
"Suzuki, Daichi",2020,E,546,8.4,10.6,0.79,0.295,0.363,0.381,0.744,0.086,2.4,0.327,-2.7,-1,66.9,7.2,0.337,134,115
"Chikamoto, Koji",2020,T,519,5.8,11.8,0.49,0.293,0.344,0.416,0.759,0.122,7.2,0.321,2.1,2.7,67.5,10.8,0.349,134.1,109
"Ohshima, Yohei",2020,D,525,9,9.7,0.92,0.316,0.382,0.381,0.763,0.065,4.5,0.351,3.1,0,68.2,10.8,0.349,132.7,118
"Yanagita, Yuki",2020,H,515,16.3,20,0.82,0.342,0.449,0.623,1.071,0.281,5.3,0.393,3,0.3,115.8,59.4,0.464,134.2,202
"Murakami, Munetaka",2020,S,515,16.9,22.3,0.76,0.307,0.427,0.585,1.012,0.278,3.8,0.362,2,0.2,101,44.7,0.431,134.4,166
